0			0.000528887
0.01			0.000907882
0.02			0.001328311
0.03			0.001128455
0.04			-1.88E-05
0.05			-0.001009029
0.06			-0.001669528
0.07			-0.002022932
0.08			-0.00159641
0.09			-0.001255193
0.1			-0.00173046
0.11			-0.002242286
0.12			-0.002717553
0.13			-0.002912534
0.14			-0.002071677
0.15			-0.00077627
0.16			0.00010139
0.17			0.000389963
0.18			-0.000157204
0.19			-0.001191824
0.2			-0.001974186
0.21			-0.002120422
0.22			-0.001547665
0.23			-0.000996842
0.24			-0.000988312
0.25			-0.001523292
0.26			-0.002315404
0.27			-0.002766298
0.28			-0.001486733
0.29			0.000792112
0.3			0.003265938
0.31			0.00538636
0.32			0.005983491
0.33			0.00502077
0.34			0.00452113
0.35			0.005008584
0.36			0.006239404
0.37			0.008018609
0.38			0.008042981
0.39			0.005581342
0.4			0.001974186
0.41			-0.001693901
0.42			-0.004009304
0.43			-0.003887441
0.44			-0.002717553
0.45			-0.002083863
0.46			-0.002522571
0.47			-0.004545503
0.48			-0.006080981
0.49			-0.005081702
0.5			-0.002571317
0.51			0.00057032
0.52			0.002985652
0.53			0.002863789
0.54			0.00119548
0.55			-0.000582507
0.56			-0.001913255
0.57			-0.001498919
0.58			0.00011053
0.59			-0.000899352
0.6			-0.004301776
0.61			-0.008457317
0.62			-0.01117487
0.63			-0.010650857
0.64			-0.005106075
0.65			0.002022932
0.66			0.009188497
0.67			0.014501739
0.68			0.016329689
0.69			0.014989193
0.7			0.012795652
0.71			0.011053006
0.72			0.009895304
0.73			0.008140472
0.74			0.001645155
0.75			-0.007445851
0.76			-0.017304596
0.77			-0.026078758
0.78			-0.033146832
0.79			-0.035218509
0.8			-0.034852919
0.81			-0.033878012
0.82			-0.031440745
0.83			-0.027662981
0.84			-0.022057267
0.85			-0.012917516
0.86			-0.000307096
0.87			0.007835814
0.88			0.008896025
0.89			-0.001498919
0.9			-0.01779205
0.91			-0.034731056
0.92			-0.046186211
0.93			-0.057641366
0.94			-0.07628646
0.95			-0.103705714
0.96			-0.13770559
0.97			-0.169390062
0.98			-0.169390062
0.99			-0.11954795
